Index,Image_ID,Breed,Garment_Name,Garment_Asset,Chest_Girth_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Clean_VTON_Image
1,golden_00001,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00001_clean_tryon.png
2,golden_00002,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00002_clean_tryon.png
3,golden_00003,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00003_clean_tryon.png
4,golden_00004,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00004_clean_tryon.png
5,golden_00005,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00005_clean_tryon.png
6,golden_00006,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00006_clean_tryon.png
7,golden_00007,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00007_clean_tryon.png
8,golden_00008,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00008_clean_tryon.png
9,golden_00009,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00009_clean_tryon.png
10,golden_00010,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00010_clean_tryon.png
11,golden_00011,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00011_clean_tryon.png
12,golden_00012,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00012_clean_tryon.png
13,golden_00013,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00013_clean_tryon.png
14,golden_00014,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00014_clean_tryon.png
15,golden_00015,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00015_clean_tryon.png
16,golden_00016,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00016_clean_tryon.png
17,golden_00017,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00017_clean_tryon.png
18,golden_00018,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00018_clean_tryon.png
19,golden_00019,Golden Retriever,Ruffwear Climate Changer (Orange Fleece),03_ruffwear_climate_changer_orange.jpg,95.5,62.0,58.0,XL,1.11,Tight,D:\3d-canine-vton-sync\real_ipadapter_clean_vton_outputs\golden_00019_clean_tryon.png
